metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source.link.to.discussion
relative;yes;Final Energy;EJ/yr;;;;2020;-0.3;-0.2;0.2;0.3;range(IEA-EB-directSum, IEA-EB-directSum_smoothed);historical;;
relative;yes;Final Energy;EJ/yr;;;World;2020;-0.2;-0.1;0.1;0.2;range(IEA-EB-directSum, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Coal;EJ/yr;;;;2020;-0.3;-0.2;0.2;0.3;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Coal;EJ/yr;;;World;2020;-0.2;-0.1;0.1;0.2;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Oil;EJ/yr;;;;2020;-0.3;-0.2;0.2;0.3;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Oil;EJ/yr;;;World;2020;-0.2;-0.1;0.1;0.2;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Gas;EJ/yr;;;;2020;-0.3;-0.2;0.2;0.3;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Gas;EJ/yr;;;World;2020;-0.2;-0.1;0.1;0.2;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Capacity|Electricity|Nuclear;GW;;;;2020;-0.3;-0.2;0.2;0.3;range(Ember, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Nuclear;GW;;;World;2020;-0.2;-0.1;0.1;0.2;range(Ember, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Hydro;GW;;;;2020;-0.3;-0.2;0.2;0.3;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Hydro;GW;;;World;2020;-0.2;-0.1;0.1;0.2;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Solar;GW;;;;2020;-0.3;-0.2;0.2;0.3;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Solar;GW;;;World;2020;-0.2;-0.1;0.1;0.2;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Wind|Onshore;GW;;;;2020;-0.3;-0.2;0.2;0.3;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Wind|Onshore;GW;;;World;2020;-0.2;-0.1;0.1;0.2;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;;;;2020;-0.3;-0.2;0.2;0.3;range(CEDS, CEDS_smoothed);historical;;
relative;yes;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;;;World;2020;-0.2;-0.1;0.1;0.2;range(CEDS, CEDS_smoothed);historical;;
relative;yes;Emissions|CH4|Waste;Mt CH4/yr;;;;2020;-0.3;-0.2;0.2;0.3;range(CEDS, CEDS_smoothed);historical;;
relative;yes;Emissions|CH4|Waste;Mt CH4/yr;;;World;2020;-0.2;-0.1;0.1;0.2;range(CEDS, CEDS_smoothed);historical;;
absolute;yes;Capacity|Electricity|Solar;GW;;;World;2025;1609;2083;3152;3896;;;;
absolute;yes;Capacity|Electricity|Solar;GW;;;World;2030;2683;4350;8164;10896;;;;
absolute;yes;Capacity|Electricity|Wind|Onshore;GW;;;World;2025;930;1066;1365;1560;;;;
absolute;yes;Capacity|Electricity|Wind|Onshore;GW;;;World;2030;1155;1542;2417;3029;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;World;2050;;;;991;;;;IAEA high case
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;World;2035;;;;1300;;;;Kazlou et al. (https://www.nature.com/articles/s41558-024-02104-0)
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;World;2040;;;;4300;;;;Kazlou et al. (https://www.nature.com/articles/s41558-024-02104-0)
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;World;2050;;;;8600;;;;Grant et al.
absolute;yes;Primary Energy|Biomass;EJ/yr;;;World;2030-2100;;;100;300;;;;Creutzig et al. 2015: https://onlinelibrary.wiley.com/doi/10.1111/gcbb.12205
absolute;yes;Capacity|Electricity|Hydro;GW;;;World;2030;1051.2;1265.78;1727.775;2278.98;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;China;2030;;201.24;832.118;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Eastern Europe;2030;;8.82;39.088;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Former Soviet Union;2030;;37.74;135.9456;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Latin America and the Caribbean;2030;;110.94;376.292;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Middle East and North Africa;2030;;9.369;42.9156;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;North America;2030;;97.56;345.52;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Other Pacific Asia;2030;;13.5;85.596;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Pacific OECD;2030;;17.22;101.822;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Rest of Centrally Planned Asia;2030;;11.64;47.404;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;South Asia;2030;;34.8;206.164;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Sub-Saharan Africa;2030;;12.78;85.232;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Western Europe;2030;;97.344;397.0008;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;World;2030;270.9;321.69375;464.2617;507.1;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;China;2030;;26.5536;120.638;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Eastern Europe;2030;;5.8512;17.682;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Former Soviet Union;2030;;20.424;67.858;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Latin America and the Caribbean;2030;;2.4336;9.009;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Middle East and North Africa;2030;;3.0096;16.296;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;North America;2030;;52.6368;153.524;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Other Pacific Asia;2030;;12.2928;39.606;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Pacific OECD;2030;;6.0624;45.36;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Rest of Centrally Planned Asia;2030;;0;0;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;South Asia;2030;;5.1888;26.404;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Sub-Saharan Africa;2030;;0.888;2.59;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Western Europe;2030;;45.2592;142.814;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;World;2025;39.7422;50.62835;74.1363;79.4266;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;China;2025;;1.944;7;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Eastern Europe;2025;;0.0954;0.4298;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Former Soviet Union;2025;;0;0;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Latin America and the Caribbean;2025;;5.724;17.64;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Middle East and North Africa;2025;;1.998;11.2;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;North America;2025;;14.037;51.247;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Other Pacific Asia;2025;;0;4.62;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Pacific OECD;2025;;1.782;4.62;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Rest of Centrally Planned Asia;2025;;0;0;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;South Asia;2025;;0;0;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Sub-Saharan Africa;2025;;0;0.0014;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Western Europe;2025;;0.9144;4.3302;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;World;2030;44.1585;70.73415;182.03745;514.1994;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;China;2030;;2.16;21.7;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Eastern Europe;2030;;0.1056;15.0234;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Former Soviet Union;2030;;0;0;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Latin America and the Caribbean;2030;;6.36;28.84;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Middle East and North Africa;2030;;2.22;30.1;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;North America;2030;;15.597;404.8394;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Other Pacific Asia;2030;;0;20.9426;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Pacific OECD;2030;;1.98;22.7934;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Rest of Centrally Planned Asia;2030;;0;0;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;South Asia;2030;;0;0;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Sub-Saharan Africa;2030;;0;1.4014;;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;Western Europe;2030;;1.0164;108.7954;;;;;
